web-scraper-order,web-scraper-start-url,title,price,availability
"1611997428-871","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:4","Nou! Laptop Gaming Asus ROG Zephyrus G14 GA401IV-HE159T (Procesor AMD Ryzen 9 4900HS (8M Cache, up to 4.40 GHz), 14"" FHD 120 Hz, 16GB, 1TB SSD, nVidia GeForce RTX 2060 @6GB, Win10 Home, Gri)","8.199,99 Lei","In stoc (exclusiv online)"
"1611997187-60","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:21","Laptop Gaming Lenovo Legion Y540 (Procesor Intel® Core™ i7-9750HF (12M Cache, up to 4.50 GHz), Coffee Lake, 15.6"" FHD, 8GB, 512GB SSD, nVidia GeForce GTX 1660Ti @6GB, Negru)","5.262,99 Lei","Stoc epuizat"
"1611997217-153","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:19","Laptop Dell Inspiron 3580 (Procesor Intel® Core™ i5-8265U (6M Cache, up to 3.90 GHz), Whiskey Lake, 15.6"" FHD, 8GB, 1TB HDD @5400RPM, Intel® UHD Graphics 620, Win10 Pro, Negru)","2.434,99 Lei","Stoc epuizat"
"1611997401-787","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:6","Laptop Apple MacBook Air (Procesor Apple M1 (12M Cache, up to 3.20 GHz), 13.3"", Retina, 8GB, 512GB SSD, Integrated M1 Graphics, Mac OS Big Sur, Layout RO, Gri)","6.599,99 Lei","Stoc epuizat"
"1611997442-955","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:3","Nou! Laptop Lenovo ThinkPad E14 (Procesor Intel® Core™ i7-1165G7 (12M Cache, up to 4.70 GHz), Tiger Lake, 14"" FHD, 16GB, 512GB SSD, nVidia GeForce MX450 @2GB, FPR, Win10 Pro, Negru)","5.863,99 Lei","In stoc (exclusiv online)"
"1611997187-70","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:21","Laptop Lenovo Ideapad 3 (Procesor Intel® Core™ i5-1035G1 (6M Cache, up to 3.60 GHz), Ice Lake, 15.6"" FHD, 8GB, 512GB SSD, Intel® UHD Graphics, Gri)","3.027,99 Lei","Stoc epuizat"
"1611997248-254","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:17","Laptop Dell Precision 3541 (Procesor Intel® Core™ i5-9300H (8M Cache, up to 4.10 GHz), Coffee Lake, 15.6"" FHD, 8GB, 256GB SSD, nVidia Quadro P620 @4GB, Win10 Pro, Negru)","6.899,99 Lei","Stoc epuizat"
"1611997388-739","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:7","Laptop Apple The New MacBook Air 13 Retina (Procesor Intel® Core™ i5-8210Y (4M Cache, up to 3.60 GHz), Amber Lake Y, 13.3"", Retina, 8GB, 256GB SSD, Intel® UHD Graphics 617, FPR, Mac OS Mojave, Layout RO, Gri)","6.238,99 Lei","Stoc epuizat"
"1611997388-737","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:7","Laptop Huawei MateBook X Pro (Procesor Intel® Core™ i5-10210U (6M Cache, up to 4.20 GHz), Comet Lake, 13.9"" 3K, Touch, 16GB, 512GB SSD, nVidia GeForce MX250 @2GB, Win10 Home, Gri)","7.299,99 Lei","Stoc epuizat"
"1611997292-399","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:14","Laptop Asus X509JA-EJ031R (Procesor Intel® Core™ i7-1065G7 (8M Cache, up to 3.90 GHz), Ice Lake, 15.6"" FHD, 8GB, 512GB, Intel® Iris® Plus Graphics, Win10 Pro, Gri)","3.999,99 Lei","Stoc epuizat"
