web-scraper-order,web-scraper-start-url,price,title,availability
"1612044245-259","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/12/","4.199,90lei","Laptop Gaming ASUS TUF A15 FX506II-BQ060, AMD Ryzen 5 4600H pana la 4.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce GTX 1650Ti 4GB, Free DOS, negru","Stoc epuizat"
"1612044260-566","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/6/","5.199,90lei","Laptop MICROSOFT Surface 3, Intel Core i5-1035G7 pana la 3.7GHz, 13.5"" Touch, 8GB, SSD 256GB, Intel Iris Plus Graphics, Windows 10 Home, negru mat","Stoc epuizat"
"1612044266-671","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","5.649,90lei","Laptop Gaming ASUS ROG Strix G15 G512LU-AL039, Intel Core i7-10750H pana la 5GHz, 15.6"" Full HD, 8GB, SSD 2 x 512GB, NVIDIA GeForce GTX 1660 Ti 6GB, Free DOS, negru","In Stoc"
"1612044274-797","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","3.699,90lei","Laptop DELL Latitude 3410, Intel Core i5-10210U pana la 4.2GHz, 14"" Full HD, 8GB, SSD 256GB, Intel UHD Graphics, Windows 10 Pro, negru","In Stoc"
"1612044242-222","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/13/","3.699,90lei","Laptop HP 14s-fq0013nq, AMD Ryzen 5 4500U pana la 4.0GHz, 14"" Full HD, 16GB, SSD 1TB, AMD Radeon Graphics, Windows 10 Home S, argintiu","Stoc epuizat"
"1612044236-144","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/15/","1.699,90lei","Laptop LENOVO V15 ADA, AMD 3020e pana la 2.6GHz, 15.6"" Full HD, 4GB, 1TB, AMD Radeon Graphics, Free DOS, gri","Stoc epuizat"
"1612044245-262","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/12/","4.199,90lei","Laptop ASUS VivoBook Flip 14 TM420IA-EC061T, AMD Ryzen 7 4700U pana la 4.1GHz, 14"" Full HD Touch, 16GB, SSD 512GB, AMD Radeon Graphics, Windows 10 Home, negru","Stoc epuizat"
"1612044242-245","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/13/","3.299,90lei","Laptop HP 14s-fq0002nq, AMD Ryzen 7 4700U pana la 4.2GHz, 14"" Full HD, 8GB, SSD 256GB, AMD Radeon Graphics, Windows 10 Home, argintiu","Stoc epuizat"
"1612044239-187","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","2.699,90lei","Laptop ASUS VivoBook 15 X512DK-EJ212, AMD Ryzen 5 3500U pana la 3.7GHz, 15.6"" Full HD, 8GB, SSD 512GB, AMD Radeon R540X 2GB, Free DOS, Coral Crush","Stoc epuizat"
"1612044250-356","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/10/","5.299,90lei","Laptop Gaming ASUS ROG Strix G G731GU-EV032, Intel Core i7-9750H pana la 4.5GHz, 17.3"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1660 Ti 6GB, Free Dos, negru","Stoc epuizat"
