web-scraper-order,web-scraper-start-url,title,price,availability
"1612387738-2709","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop ultraportabil Dell Inspiron 5402, Intel® Core™ i3-1115G4, 4GB DDR4, SSD","2.999,99 lei","In stoc"
"1612387736-2685","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Asus ZenBook 14 UX435EA-A5022T, Intel® Core™ i7-1165G7, 16GB LPDDR4X, SS","6.499,99 lei","In stoc"
"1612387732-2638","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Lenovo ThinkPad T590, Intel® Core™ i7-8565U, 16GB DDR4, SSD 512GB, Intel","7.999,90 lei","In stoc - exclusiv online"
"1612387736-2669","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Dell Latitude 5510, Intel® Core™ i5-10310U, 8GB DDR4, SSD 256GB, Intel&#","4.075,90 lei","In stoc - exclusiv online"
"1612387738-2696","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo IdeaPad 3 14AD05, AMD Ryzen™ 5 3500U, 8GB DDR4, SSD 256GB, AMD Radeon&","3.099,99 lei","In stoc"
"1612387727-2597","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","Laptop Apple MacBook Pro 16 Touch Bar, Intel® Core™ i9, 16GB DDR4, SSD 1TB, AMD","14.299,99 lei","Stoc limitat"
"1612387732-2615","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Gaming Asus ROG Zephyrus G14 GA401IV-HA037, AMD Ryzen 9 4900HS, 14"" QHD, 16GB","7.696,90 lei","In stoc - exclusiv online"
"1612387732-2639","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Gaming Dell Alienware m17 R3, Intel® Core™ i7-10750H, 16GB DDR4, SSD 1TB","12.999,99 lei","Stoc limitat"
"1612387738-2698","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Allview Allbook H, Intel® Celeron® N4000, 4GB DDR4, SSD 256GB, Intel®","1.499,99 lei","In stoc"
"1612387732-2648","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Asus M509DA-EJ280, AMD Ryzen™ 7 3700U, 8GB DDR4, HDD 1TB, AMD Radeon™ R","2.899,99 lei","Stoc limitat"
"1612387732-2649","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Gaming Acer Nitro 5 AN515-52-58SQ, Intel Core i5-8300H, 8GB DDR4, HDD 1TB, nVIDIA G","3.999,99 lei","Stoc limitat"
"1612387727-2609","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","Laptop HP 15-ec0030nq, AMD Ryzen™ 7 3750H, 16GB DDR4, SSD 256GB, HDD 1TB + SSD 256GB","4.699,99 lei","Stoc limitat"
"1612387732-2621","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Gaming Asus ROG Zephyrus G14 GA401IV-HA040T, AMD Ryzen™ 9 4900HS, 16GB DDR4,","7.999,90 lei","In stoc - exclusiv online"
"1612387732-2625","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Lenovo ThinkPad X1 Carbon, Intel® Core™ i5-8265U, 8GB LPDDR3, SSD 256GB,","8.049,90 lei","In stoc - exclusiv online"
