web-scraper-order,web-scraper-start-url,title,price,availability
1612387446-453,https://www.emag.ro/laptopuri/p13/c,"Laptop Lenovo V17 IIL cu procesor Intel Core i5-1035G1 pana la 3.60 GHz, 17.3"", HD+, 12GB, 256GB SSD, Intel UHD Graphics, Windows 10 Pro, Iron Grey",5.199<sup>99</sup> <span>Lei</span>,ultimul produs in stoc
1612387455-655,https://www.emag.ro/laptopuri/p10/c,"Laptop Acer Nitro 5 AN515-55-53AG, Intel Core™ i5-10300H, 256 GB SSD, 8 GB DDR4, GTX 1650, Windows 10, Negru",4.899<sup>91</sup> <span>Lei</span>,ultimele 2 produse
1612387470-911,https://www.emag.ro/laptopuri/p5/c,"Laptop Weigo by Insys WHA-156H cu procesor Intel® Celeron® N4100 pana la 2.40 GHz, 15.6"", Full HD IPS, 8 GB, 192GB SSD (64GB MMC+128GB SSD), Intel UHD Graphics 600, fara retea pe fir si unitate optica DVD, Windows 10 Home, negru",1.598<sup>17</sup> <span>Lei</span>,în stoc
1612387458-669,https://www.emag.ro/laptopuri/p9/c,"Laptop ultraportabil ThinkPad X390 cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, 13.3"", Full HD, 16GB, 512GB SSD, Intel UHD Graphics, Windows 10 Pro, Black",7.499<sup>99</sup> <span>Lei</span>,ultimul produs in stoc
1612387473-1016,https://www.emag.ro/laptopuri/p4/c,"Laptop Gaming Acer Nitro 5 AN515-44, AMD Ryzen™ 5 4600H, 8GB DDR4, SSD 512GB, NVIDIA GeForce GTX 1650Ti 4GB, Free DOS",4.499<sup>99</sup> <span>Lei</span>,în stoc
1612387442-386,https://www.emag.ro/laptopuri/p14/c,"Laptop Lenovo 3-14AD05 81W0003QUS, AMD Ryzen™ 5 3500U, 14"", FHD, 256GB SSD, 8GB DDR4, AMD Radeon Vega 8, WIndows 10, Albastru",3.199<sup>90</sup> <span>Lei</span>,în stoc
1612387425-20,https://www.emag.ro/laptopuri/p20/c,"Laptop HP 250 G7 cu procesor Intel® Core™ i3-1005G1 pana la 3.40 GHz, 15.6"", HD, 4GB, 500GB HDD, Intel® UHD Graphics, Free DOS, Black",2.049<sup>00</sup> <span>Lei</span>,ultimele 3 produse
1612387449-485,https://www.emag.ro/laptopuri/p12/c,"Laptop HP Zbook Fury 15 G7, Full HD, i7 10750H 2.60 Ghz, 16Gb Ram, 512Gb SSD, Quadro T1000 4GB",12.019<sup>00</sup> <span>Lei</span>,ultimul produs in stoc
1612387482-1151,https://www.emag.ro/laptopuri/p1/c,"Laptop ASUS X509JA cu procesor Intel® Core™ i5-1035G1 pana la 3.60 GHz, 15.6"", Full HD, 8GB, 256GB SSD, Intel® UHD Graphics, Free DOS, Slate Grey",2.799<sup>99</sup> <span>Lei</span>,în stoc
1612387464-814,https://www.emag.ro/laptopuri/p7/c,"Laptop Gaming ASUS ROG Zephyrus M15 GU502LV cu procesor Intel® Core™ i7-10750H pana la 5.00 GHz, 16GB, 512GB SSD, NVIDIA® GeForce RTX™ 2060 6GB, Windows 10 Home, Black",7.199<sup>99</sup> <span>Lei</span>,ultimul produs in stoc
1612387467-876,https://www.emag.ro/laptopuri/p6/c,"Laptop ultraportabil ASUS ZenBook Duo 14 UX482EA cu procesor Intel® Core™ i7-1165G7 pana la 4.70 GHz, 14"", Full HD, Touch, 32GB, 1TB SSD, Intel® Iris Xe Graphics, Windows 10 Pro, Celestial Blue",8.999<sup>99</sup> <span>Lei</span>,în stoc
1612387479-1111,https://www.emag.ro/laptopuri/p2/c,"Laptop Apple MacBook Air 13 (2020) ecran Retina, procesor Intel® Core™ i5 1.1GHz, 8GB, 512GB SSD, Intel Iris Plus Graphics, Gold, INT KB",6.649<sup>01</sup> <span>Lei</span>,în stoc
1612387439-345,https://www.emag.ro/laptopuri/p15/c,"Laptop Lenovo ThinkPad T14s Gen 1 (Intel), 14"" FHD IPS 400nits Anti-glare, Intel Core i7-10510U, RAM 16GB, 512GB SSD, Integrated Intel UHD Graphics, Culoare Black, Windows 10 Pro",8.211<sup>00</sup> <span>Lei</span>,ultimul produs in stoc
1612387458-694,https://www.emag.ro/laptopuri/p9/c,"Laptop HP 14s-fq0027nq, AMD 3020e, 4GB DDR4, SSD 128GB, AMD Radeon™ Graphics, Windows 10 Home S",1.999<sup>99</sup> <span>Lei</span>,în stoc
1612387455-606,https://www.emag.ro/laptopuri/p10/c,"Laptop Lenovo V14-IIL cu procesor Intel Core i7-1065G7 (10th Gen) pina la 3,90 Ghz, 14'' Full HD 256GB SSD 12GB RAM,GeForce MX350, Iron Grey, Free DOS",3.962<sup>70</sup> <span>Lei</span>,în stoc
