web-scraper-order,web-scraper-start-url,price,title,availability
"1612388379-3864","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","3.199,90lei","Laptop ASUS ZenBook 14 UM431DA-AM007, AMD Ryzen 5 3500U pana la 3.7GHz, 14"" Full HD, 8GB, SSD 512GB, AMD Radeon Vega 8, Endless, Utopia Blue","Stoc epuizat"
"1612388402-4252","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/5/","4.699,90lei","Laptop Gaming ACER Nitro 5 AN515-54, Intel Core i7-9750H pana la 4.5GHz, 15.6"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce GTX 1660Ti 6GB, Boot-up Linux, negru","In Stoc"
"1612388387-3993","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/11/","4.849,90lei","Laptop ASUS ZenBook 14 UM425IA-HM040T, AMD Ryzen 7 4700U pana la 4.1GHz, 14"" Full HD, 16GB, SSD 512GB, AMD Radeon Graphic, Windows 10 Home, gri inchis","Stoc epuizat"
"1612388412-4474","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","13.279,99lei","Laptop Gaming ASUS ROG Zephyrus S15 GX502LXS-HF047T, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 32GB, SSD 1TB, NVIDIA GeForce RTX 2080 Super Max-Q 8GB, WebCam, Windows 10 Home, negru","In Stoc"
"1612388405-4334","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","5.199,90lei","Laptop Gaming ASUS ROG Strix G17 G712LU-H7021, Intel Core i7-10750H pana la 5.0GHz, 17.3"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce GTX 1660Ti 6GB, Free DOS, negru","In Stoc"
"1612388394-4152","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/8/","6.899,90lei","Laptop APPLE MacBook Air 13 mgna3ze/a, Apple M1, 13.3"" Retina Display, 8GB, SSD 512GB, Grafica integrata, macOS Big Sur, Silver - Tastatura layout INT","Stoc epuizat"
"1612388379-3828","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","3.699,90lei","Laptop ASUS VivoBook 15 X513EA-EJ023, Intel Core i7-1165G7 pana la 4.7GHz, 15.6"" Full HD, 8GB, SSD 512GB, Intel UHD Graphics, Free DOS, albastru","Stoc epuizat"
"1612388407-4353","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/3/","7.399,90lei","Laptop Gaming ASUS ROG Strix G15 G512LW-HN126, Intel Core i7-10875H pana la 5.1GHz, 15.6"" Full HD, 16GB, SSD 1TB, NVIDIA GeForce RTX 2070 8GB, Free DOS, negru","In Stoc"
"1612388397-4163","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/7/","18.849,90lei","Laptop DELL XPS 9700, Intel Core i7-10750H pana la 5.0GHz, 17"" UHD+ Touch, 32GB, SSD 2TB, NVIDIA GeForce GTX 1650 Ti 4GB, Windows 10 Pro, argintiu","Stoc epuizat"
"1612388410-4433","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/2/","8.099,90lei","Laptop Gaming HP Omen 15-ek0018nq, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce RTX 2070 Max-Q 8GB, Free DOS, negru","In Stoc"
"1612388405-4326","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","5.449,90lei","Laptop APPLE MacBook Air 13 mwtj2ze/a, Intel Core i3 pana la 3.2GHz, 13.3"" IPS Retina, 8GB, SSD 256GB, Intel Iris Plus Graphics, macOS Catalina, Space Grey - Tastatura layout INT","In Stoc"
"1612388410-4413","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/2/","9.399,90lei","Laptop LENOVO ThinkPad T14 Gen 1, Intel Core i7-10510U pana la 4.9GHz, 14"" UHD Touch, 16GB, SSD 512GB, NVIDIA GeForce MX330 2GB, Windows 10 Pro, negru","In Stoc"
"1612388379-3835","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","3.499,90lei","Laptop ASUS VivoBook X512JA-EJ369, Intel Core i7-1065G7 pana la 3.9GHz, 15.6"" Full HD, 8GB, SSD 512GB, Intel Iris Plus Graphics, Free DOS, gri","Stoc epuizat"
"1612388379-3842","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","3.499,90lei","Laptop ASUS VivoBook 14 X403JA-BM019, Intel Core i5-1035G1 pana la 3.6GHz, 14"" Full HD, 8GB, SSD 256GB, Intel UHD Graphics 620, Endless, Petal Pink","Stoc epuizat"
"1612388402-4291","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/5/","3.099,90lei","Laptop ACER Swift 3 SF314-42-R0DN, AMD Ryzen 5 4500U pana la 4GHz, 14"" Full HD, 8GB, SSD 512GB, AMD Radeon Graphics, Free Dos, argintiu","In Stoc"
"1612388376-3816","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/15/","1.799,90lei","Laptop ASUS X509MA-BR310T, Intel Celeron N4020 pana la 2.8GHz, 15.6"" HD, 4GB, SSD 256GB, Intel UHD Graphics 600, Windows 10 Home, argintiu","Stoc epuizat"
"1612388376-3804","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/15/","2.299,90lei","Laptop ASUS X509JB-EJ162, Intel Core i3-1005G1 pana la 3.4GHz, 15.6"" Full HD, 4GB, SSD 512GB, NVIDIA GeForce MX110 2GB, Free DOS, gri","Stoc epuizat"
"1612388410-4397","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/2/","10.849,90lei","Laptop Gaming ACER Predator Triton 500 PT515-52, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 16GB, SSD 1TB, NVIDIA GeForce RTX 2070 Super Max-Q 8GB, Windows 10 Home, negru","In Stoc"
"1612388402-4264","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/5/","4.199,90lei","Laptop Gaming HP Omen 15-en0001nq, AMD Ryzen 74800H pana la 4.3GHz, 15.6"" Full HD, 16GB, SSD 256GB, NVIDIA GeForce GTX 1650 Ti 4GB, Free DOS, argintiu","In Stoc"
"1612388397-4194","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/7/","9.999,90lei","Laptop LENOVO ThinkPad X1 Carbon Gen7, Intel Core i7-8565U pana la 4.6GHz, 14"" Full HD Touch, 16GB, SSD 512GB, Intel UHD Graphics 620, Windows 10 Pro, negru","Stoc epuizat"
"1612388392-4086","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/9/","6.299,90lei","Laptop ASUS ZenBook 15 UX534FAC-A8054T, Intel Core i7-10510U pana la 4.9GHz, 15.6"" Full HD, 16GB, SSD 512GB, Intel UHD Graphics 620, Windows 10 Home, Icicle Silver","Stoc epuizat"
"1612388405-4302","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","6.099,90lei","Laptop MICROSOFT Surface 3, AMD Ryzen 5 3580U pana la 3.7GHz, 15"" Touch, 8GB, SSD 128GB, AMD Radeon Vega 9 Graphics, Windows 10 Home, Platinum","In Stoc"
"1612388376-3817","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/15/","1.799,90lei","Laptop DELL Inspiron 3581, Intel Core i3-7020U 2.3GHz, 15.6"" Full HD, 4GB, 1TB, AMD Radeon 520 2GB, Windows 10 Home, Negru","Stoc epuizat"
"1612388379-3840","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","3.499,90lei","Laptop HUAWEI MateBook 13, AMD Ryzen 5 3500U pana la 3.7GHz, 13"" 2K IPS, 8GB, SSD 512GB, AMD Radeon Vega 8 Graphics , Windows 10 Home, gri","Stoc epuizat"
"1612388410-4401","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/2/","10.199,90lei","Laptop Gaming HP OMEN X 2S 15-dg0008nq, Intel Core i9-9880H pana la 4.8GHz, 15.6"" Full HD Touch, 32GB, SSD 512GB, NVIDIA GeForce RTX 2070 8GB, Windows 10 Home, negru","In Stoc"
"1612388405-4322","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","5.599,90lei","Laptop Gaming HP Omen 15-ek0000nq, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce GTX 1660 Ti 6GB, Free DOS, negru","In Stoc"
"1612388381-3905","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/13/","3.799,90lei","Laptop ASUS ZenBook 14 UM433DA-A5002T, AMD Ryzen 5 3500U pana la 3.7GHz, 14"" Full HD, 8GB, SSD 512GB, AMD Radeon Vega 8 Graphics, Windows 10 Home, Icicle Silver","Stoc epuizat"
"1612388402-4265","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/5/","4.099,90lei","Laptop LENOVO ThinkPad E14 Gen 2, Intel Core i5-1135G7 pana la 4.2GHz, 14"" Full HD, 16GB, SSD 512GB, Intel Iris Xe Graphics, Free DOS, negru","In Stoc"
"1612388407-4362","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/3/","7.199,90lei","Laptop Gaming ASUS ROG Zephyrus M15 GU502LV-AZ033T, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce RTX 2060 6GB, Windows 10 Home, negru","In Stoc"
