web-scraper-order,web-scraper-start-url,title,price,availability,pagination,pagination-href,link,link-href,image-src
"1612611906-1390","https://www.evomag.ro/portabile-laptopuri-notebook/","Nou! Laptop Huawei MateBook D 15 (Procesor AMD Ryzen 7 3700U (4M Cache, up to 4.0 GHz), 15.6"" FHD, 8GB, 512GB SSD, AMD Radeon Vega 10, FPR, Win10 Home, Argintiu)","3.299,99 Lei","Stoc epuizat","8","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:8","Nou! Laptop Huawei MateBook D 15 (Procesor AMD Ryzen 7 3700U (4M Cache, up to 4.0 GHz), 15.6"" FHD, 8GB, 512GB SSD, AMD Radeon Vega 10, FPR, Win10 Home, Argintiu)","https://www.evomag.ro/portabile-laptopuri-notebook/huawei-laptop-huawei-matebook-d-15-procesor-amd-ryzen-7-3700u-4m-cache-up-to-4.0-ghz-15.6-fhd-8gb-512gb-ssd-amd-radeon-vega-10-fpr-win10-home-argintiu-3807343.html","https://static3.evomag.ro/img?file=products%2F3807%2F3807343%2F1611910324laptop-huawei-matebook-d-15-procesor-amd-ryzen-7-3700u-4m-cache-up-to-40-ghz-156-fhd-8gb-512gb-ssd-amd-radeon-vega-10-fpr-win10-home-argintiu.jpg&height=150&extend=white"
"1612612320-1811","https://www.evomag.ro/portabile-laptopuri-notebook/","Laptop Lenovo IdeaPad L340 (Procesor Intel® Pentium® Gold 5405U (2M Cache, up to 2.30 GHz), Whiskey Lake, 15.6"" FHD, 4GB, 128GB SSD, Intel® UHD Graphics 610, Alb)","1.488,99 Lei","Stoc epuizat","23","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:23","Laptop Lenovo IdeaPad L340 (Procesor Intel® Pentium® Gold 5405U (2M Cache, up to 2.30 GHz), Whiskey Lake, 15.6"" FHD, 4GB, 128GB SSD, Intel® UHD Graphics 610, Alb)","https://www.evomag.ro/portabile-laptopuri-notebook/lenovo-laptop-lenovo-ideapad-l340-procesor-intel-pentium-gold-5405u-2m-cache-up-to-2.30-ghz-whiskey-lake-15.6-fhd-4gb-128gb-ssd-intel-uhd-graphics-610-alb-3775288.html","https://static3.evomag.ro/img?file=products%2F3775%2F3775288%2F1574251216Laptop+Lenovo+IdeaPad+L340+%28Procesor+Intel%C2%AE+Pentium%C2%AE+Gold+5405U+%282M+Cache%2C+up+to+2.30+GHz%29%2C+Whiskey+Lake%2C+15.6+FHD%2C+4GB%2C+128GB+SSD%2C+Intel%C2%AE+UHD+Graphics+610%2C+Alb%29+1.jpg&height=150&extend=white"
"1612612183-1719","https://www.evomag.ro/portabile-laptopuri-notebook/","Laptop Lenovo ThinkPad L590 (Procesor Intel® Core™ i3-8145U (4M Cache, up to 3.90 GHz), Whiskey Lake, 15.6"" FHD, 4GB, 256GB SSD, Intel® UHD Graphics, FPR, Win10 Pro, Negru)","3.799,99 Lei","Stoc epuizat","20","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:20","Laptop Lenovo ThinkPad L590 (Procesor Intel® Core™ i3-8145U (4M Cache, up to 3.90 GHz), Whiskey Lake, 15.6"" FHD, 4GB, 256GB SSD, Intel® UHD Graphics, FPR, Win10 Pro, Negru)","https://www.evomag.ro/portabile-laptopuri-notebook/lenovo-laptop-lenovo-thinkpad-l590-procesor-intel-core-i3-8145u-4m-cache-up-to-3.90-ghz-whiskey-lake-15.6-fhd-4gb-256gb-ssd-intel-uhd-graphics-fpr-win10-pro-negru-3792844.html","https://static3.evomag.ro/img?file=products%2F3792%2F3792844%2F1568271385Laptop+Lenovo+ThinkPad+L590+%28Procesor+Intel%C2%AE+Core%E2%84%A2+i7-8565U+%288M+Cache%2C+up+to+4.60+GHz%29%2C+Whiskey+Lake%2C+15.6+FHD%2C+16GB%2C+512GB+SSD%2C+Intel%C2%AE+UHD+Graphics+620%2C+Win10+Pro%2C+FPR%2C+Negru%291.jpg&height=150&extend=white"
"1612611813-1312","https://www.evomag.ro/portabile-laptopuri-notebook/","Laptop HP ProBook 450 G7 (Procesor Intel® Core™ i5-10210U (6M Cache, up to 4.20 GHz), Comet Lake, 15.6"" FHD, 16GB, 1TB HDD @5400RPM + 512GB SSD, nVidia GeForce MX250 @2GB, FPR, Win10 Pro, Argintiu)","4.794,00 Lei","In stoc magazin","","","Laptop HP ProBook 450 G7 (Procesor Intel® Core™ i5-10210U (6M Cache, up to 4.20 GHz), Comet Lake, 15.6"" FHD, 16GB, 1TB HDD @5400RPM + 512GB SSD, nVidia GeForce MX250 @2GB, FPR, Win10 Pro, Argintiu)","https://www.evomag.ro/portabile-laptopuri-notebook/hp-laptop-hp-probook-450-g7-procesor-intel-core-i5-10210u-6m-cache-up-to-4.20-ghz-comet-lake-15.6-fhd-16gb-1tb-hdd-5400rpm-512gb-ssd-nvidia-geforce-mx250-2gb-fpr-win10-pro-argintiu-3787974.html","https://static3.evomag.ro/img?file=products%2F3787%2F3787974%2F1586251370Laptop+HP+ProBook+450+G7+%28Procesor+Intel%C2%AE+Core%E2%84%A2+i5-10210U+%286M+Cache%2C+up+to+4.20+GHz%29%2C+Comet+Lake%2C+15.6+FHD%2C+8GB%2C+1TB+HDD+%405400RPM%2C+nVidia+GeForce+MX130+%402GB%2C+FPR%2C+Argintiu%291.jpg&height=150&extend=white"
"1612612624-2140","https://www.evomag.ro/portabile-laptopuri-notebook/","Laptop Lenovo ThinkPad E14 (Procesor Intel® Core™ i5-10210U (6M Cache, up to 4.20 GHz), Comet Lake, 14"" FHD, 16GB, 512GB SSD, Intel® UHD Graphics, FPR, Win10 Pro, Negru)","4.860,99 Lei","Stoc epuizat","9","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:9","Laptop Lenovo ThinkPad E14 (Procesor Intel® Core™ i5-10210U (6M Cache, up to 4.20 GHz), Comet Lake, 14"" FHD, 16GB, 512GB SSD, Intel® UHD Graphics, FPR, Win10 Pro, Negru)","https://www.evomag.ro/portabile-laptopuri-notebook/lenovo-laptop-lenovo-thinkpad-e14-procesor-intel-core-i5-10210u-6m-cache-up-to-4.20-ghz-comet-lake-14-fhd-16gb-512gb-ssd-intel-uhd-graphics-fpr-win10-pro-negru-3783350.html","https://static3.evomag.ro/img?file=products%2F3783%2F3783350%2F1583504024Laptop+Lenovo+ThinkPad+E14+%28Procesor+Intel%C2%AE+Core%E2%84%A2+i7-10510U+%288M+Cache%2C+up+to+4.90+GHz%29%2C+Comet+Lake%2C+14+FHD%2C+16GB%2C+512GB+SSD%2C+Intel%C2%AE+UHD+Graphics%2C+FPR%2C+Win10+Pro%2C+Negru%291.jpg&height=150&extend=white"
"1612612490-2022","https://www.evomag.ro/portabile-laptopuri-notebook/","Laptop Acer Aspire 5613 ZWLMi_VGA","3.846,99 Lei","Stoc epuizat","15","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:15","Laptop Acer Aspire 5613 ZWLMi_VGA","https://www.evomag.ro/portabile-laptopuri-notebook/acer-laptop-aspire-5613-zwlmi-vga-8166.html","https://static3.evomag.ro/img?file=products%2F8%2F8166%2F5613+ZWLMi+1.jpg&height=150&extend=white"
"1612611860-1350","https://www.evomag.ro/portabile-laptopuri-notebook/","Laptop HP 250 G7 (Procesor Intel® Core™ i5-1035G1 (6M Cache, up to 3.60 GHz), Ice Lake, 15.6"" FHD, 8GB, 512GB SSD, nVidia GeForce MX110 @2GB, Negru)","2.774,99 Lei","Stoc epuizat","6","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:6","Laptop HP 250 G7 (Procesor Intel® Core™ i5-1035G1 (6M Cache, up to 3.60 GHz), Ice Lake, 15.6"" FHD, 8GB, 512GB SSD, nVidia GeForce MX110 @2GB, Negru)","https://www.evomag.ro/portabile-laptopuri-notebook/hp-laptop-hp-250-g7-procesor-intel-core-i5-1035g1-6m-cache-up-to-3.60-ghz-ice-lake-15.6-fhd-8gb-512gb-ssd-nvidia-geforce-mx110-2gb-negru-3800800.html","https://static3.evomag.ro/img?file=products%2F3800%2F3800800%2F1570431616Laptop+HP+250+G7+%28Procesor+Intel%C2%AE+Core%E2%84%A2+i3-7020U+%283M+Cache%2C+up+to+2.30+GHz%29%2C+Kaby+Lake%2C+15.6+FHD%2C+8GB%2C+256GB+SSD%2C+Intel%C2%AE+HD+Graphics+620%2C+Negru%29+1.jpg&height=150&extend=white"
"1612612762-2308","https://www.evomag.ro/portabile-laptopuri-notebook/","Nou! Laptop Lenovo ThinkPad E15 (Procesor Intel® Core™ i7-1165G7 (12M Cache, up to 4.70 GHz), Tiger Lake, 15.6"" FHD, 16GB, 1TB SSD, Intel® Iris Xe, FPR, Negru)","5.051,99 Lei","Intreaba stoc","4","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:4","Nou! Laptop Lenovo ThinkPad E15 (Procesor Intel® Core™ i7-1165G7 (12M Cache, up to 4.70 GHz), Tiger Lake, 15.6"" FHD, 16GB, 1TB SSD, Intel® Iris Xe, FPR, Negru)","https://www.evomag.ro/portabile-laptopuri-notebook/lenovo-laptop-lenovo-thinkpad-e15-procesor-intel-core-i7-1165g7-12m-cache-up-to-4.70-ghz-tiger-lake-15.6-fhd-16gb-1tb-ssd-intel-iris-xe-fpr-negru-3806967.html","https://static3.evomag.ro/img?file=products%2F3806%2F3806967%2F1611328669laptop-lenovo-thinkpad-e15-procesor-intelr-core-i7-1165g7-12m-cache-up-to-470-ghz-tiger-lake-156-fhd-16gb-1tb-ssd-intelr-iris-xe-fpr-negru.jpg&height=150&extend=white"
"1612611860-1365","https://www.evomag.ro/portabile-laptopuri-notebook/","Nou! Laptop Dell Inspiron G5 5501 (Procesor Intel® Core™ i5-1035G1 (6M Cache, up to 3.60 GHz), Ice Lake, 15.6"" FHD, 8GB, 512GB SSD, NVIDIA GeForce MX330 @2GB, FPR, Win10 Home, Argintiu)","4.499,99 Lei","Stoc epuizat","6","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:6","Nou! Laptop Dell Inspiron G5 5501 (Procesor Intel® Core™ i5-1035G1 (6M Cache, up to 3.60 GHz), Ice Lake, 15.6"" FHD, 8GB, 512GB SSD, NVIDIA GeForce MX330 @2GB, FPR, Win10 Home, Argintiu)","https://www.evomag.ro/portabile-laptopuri-notebook/dell-laptop-dell-inspiron-g5-5501-procesor-intel-core-i5-1035g1-6m-cache-up-to-3.60-ghz-ice-lake-15.6-fhd-8gb-512gb-ssd-nvidia-geforce-mx330-2gb-fpr-win10-home-argintiu-3806634.html","https://static3.evomag.ro/img?file=products%2F3806%2F3806634%2Flaptop-dell-inspiron-g5-5501-6001b68d81dcf.JPG&height=150&extend=white"
"1612612668-2196","https://www.evomag.ro/portabile-laptopuri-notebook/","Laptop Gaming Lenovo IdeaPad 3 (Procesor Intel® Core™ i5-10300H (8M Cache, up to 4.50 GHz), Comet Lake, 15.6"" FHD, 8GB, 512GB SSD, nVidia GeForce GTX 1650Ti @4GB, Albastru)","4.039,99 Lei","Stoc epuizat","7","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:7","Laptop Gaming Lenovo IdeaPad 3 (Procesor Intel® Core™ i5-10300H (8M Cache, up to 4.50 GHz), Comet Lake, 15.6"" FHD, 8GB, 512GB SSD, nVidia GeForce GTX 1650Ti @4GB, Albastru)","https://www.evomag.ro/portabile-laptopuri-notebook/lenovo-laptop-gaming-lenovo-ideapad-3-procesor-intel-core-i5-10300h-8m-cache-up-to-4.50-ghz-comet-lake-15.6-fhd-8gb-512gb-ssd-nvidia-geforce-gtx-1650ti-4gb-albastru-3795582.html","https://static3.evomag.ro/img?file=products%2F3795%2F3795582%2F1597752430Laptop+Gaming+Lenovo+IdeaPad+3+%28Procesor+Intel%C2%AE+Core%E2%84%A2+i5-10300H+%288M+Cache%2C+up+to+4.50+GHz%29%2C+Comet+Lake%2C+15.6+FHD%2C+8GB%2C+512GB+SSD%2C+nVidia+GeForce+GTX+1650Ti+%404GB%2C+Albastru%291.jpg&height=150&extend=white"
